Time,%CO2 reading,removal efficiency% at t,Avg %CO2 in t to t+1,Avg. CO2 removal frac. in t-t+1,gram of CO2 added,CO2 mass flow rate (gm./min),cumulative CO2,moles of CO2 in solution,CO2 concentration in mol/kg solution,CO2 mole ratio at inlet,CO2 mole ratio at outlet,(Y1-Y2)+LN(Y1/Y2),cross-sectional area,height of packed bed,pressure,inert gas flow rate (kmol/m2/hr),mass transfer coefficient (KGav),moles of ammonia reacted (assuming ABC),total ammonia moles in solution,unreacted moles of ammonia,unreacted NH3 moles (new calc.),ammonia % (new calc.),ammonia% at t,ln(ammonia%),ln(Kgav),ln(ammonia %),
0,20.2,0,,0,0,2.38071428571429,0,0,0,0.2531328320802,0.2531328320802,,0.0019625,0.5,101.325,6.55141037306642,,0,29.3599530240752,29.3599530240752,29.3599530240752,10,10,2.30258509299405,,2.30258509299405,
10,0,100,0,1,23.8071428571429,,23.8071428571429,0.541071428571429,0.118916797488226,,0,8.08962230400778,,,,,1.04610778142938,0.541071428571429,,28.8188815955037,28.2778101669323,9.63142214285714,9.81571107142857,2.28398427252437,0.0450764018538043,2.26503089329265,0.0450764018538043
20,0,100,0,1,23.8071428571429,,47.6142857142857,1.08214285714286,0.237833594976452,,0,8.08962230400778,,,,,1.04610778142938,1.08214285714286,,28.2778101669323,27.1956673097894,9.26284428571429,9.63142214285714,2.26503089329265,0.0450764018538043,2.22601115977912,0.0450764018538043
30,0,100,0,1,23.8071428571429,,71.4214285714286,1.62321428571429,0.356750392464678,,0,8.08962230400778,,,,,1.04610778142938,1.62321428571429,,27.7367387383609,26.1135244526466,8.89426642857143,9.44713321428572,2.24571133191397,0.0450764018538043,2.18540684762942,0.0450764018538043
40,0,100,0,1,23.8071428571429,,95.2285714285715,2.16428571428571,0.475667189952904,,0,8.08962230400778,,,,,1.04610778142938,2.16428571428571,,27.1956673097894,25.0313815955037,8.52568857142857,9.26284428571429,2.22601115977912,0.0450764018538043,2.14308379074985,0.0450764018538043
50,0,100,0,1,23.8071428571429,,119.035714285714,2.70535714285714,0.59458398744113,,0,8.08962230400778,,,,,1.04610778142938,2.70535714285714,,26.654595881218,23.9492387383609,8.15711071428571,9.07855535714286,2.20591507831894,0.0450764018538043,2.09889002714355,0.0450764018538043
55,0.1,99.5049504950495,0.05,0.997524752475247,11.8741071428571,,130.909821428571,2.97522321428571,0.653895211930927,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,2.97522321428571,,26.3847298097894,23.4095065955037,7.97327794642857,8.98663897321429,2.19573891575563,-0.290229379325623,2.07609569387204,-0.290229379325623
65,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,154.599107142857,3.51361607142857,0.772223312401884,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,3.51361607142857,,24.790947760255,21.2773316888264,7.54901997209822,8.79562167410714,2.17425406063826,-0.290229379325623,2.02141774981543,-0.290229379325623
75,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,178.288392857143,4.05200892857143,0.890551412872842,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,4.05200892857143,,24.2525549031122,20.2005459745407,7.16698537388393,8.604604375,2.15229745242992,-0.290229379325623,1.96948511625121,-0.290229379325623
85,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,201.977678571429,4.59040178571429,1.0088795133438,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,4.59040178571429,,23.7141620459693,19.123760260255,6.78495077566964,8.41358707589286,2.12984790812533,-0.290229379325623,1.914707038385,-0.290229379325623
95,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,225.666964285714,5.12879464285714,1.12720761381476,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,5.12879464285714,,23.1757691888264,18.0469745459693,6.40291617745536,8.22256977678572,2.10688278512421,-0.290229379325623,1.85675353931485,-0.290229379325623
105,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,249.35625,5.6671875,1.24553571428571,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,5.6671875,,22.6373763316836,16.9701888316836,6.02088157924107,8.03155247767857,2.0833778439766,-0.290229379325623,1.79523369033358,-0.290229379325623
115,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,273.045535714286,6.20558035714286,1.36386381475667,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,6.20558035714286,,22.0989834745407,15.8934031173979,5.63884698102679,7.84053517857143,2.05930709460542,-0.290229379325623,1.72967960862192,-0.290229379325623
