Time,CO2%,removal frac at t,Average removal between t-t1,Avg CO2 at outlet,CO2 loading increment between t-t1,grams of CO2 added ,Cumulative CO2,Moles of CO2 in the solution,CO2 concentration in mol/kg solution,Moles of NH3 reacted (considering ABC as mainproduct),moles of NH3 unused,moles of NH3 unreacted (new calc.),CO2 MASS FLOW RATE,Ammonia %,Ammonia% (new calculation),Mass transfer coefficient,inert gas flow rate (kmol/m2/h),cross sectional area (m2),pressure (kpa),height of packed bed (m),mole ratio at inlet,mole ratio at outlet,(Y1-Y2)+LN(Y1/Y2),ln (ammonia %),ln (mass transfer coefficient),ln (new ammonia %),
110,7.3,0.63681592039801,0.646766169154229,7.1,0.646766169154229,30.6428571428571,408.375,9.28125,1.51098901098901,9.28125,40.4613110342493,31.3777013403717,,10.2082389172336,7.91647783446712,0.34507751413523,,,,,,0.0787486515641855,1.33425389071554,2.32319513122995,-1.06398620853441,2.0689463890397,-1.06398620853441
120,7.8,0.611940298507463,0.624378109452736,7.55,0.624378109452736,29.5821428571429,437.957142857143,9.95357142857143,1.62044304901448,9.95357142857143,39.7889896056778,30.0330584832289,,10.0386147108844,7.57722942176871,0.325031711514282,,,,,,0.0845986984815618,1.2567461162477,2.30643912774033,-1.12383252752232,2.02514762119861,-1.12383252752232
130,8.4,0.582089552238806,0.597014925373134,8.1,0.597014925373134,28.2857142857143,466.242857142857,10.5964285714286,1.79145030793382,10.5964285714286,37.6724661811289,28.2778658409929,,9.87018613945578,7.40880085034014,0.302339245178152,,,,,,0.091703056768559,1.16900492692452,2.28951871238162,-1.19620556366404,2.00266859764826,-1.19620556366404
140,9.1,0.54726368159204,0.564676616915423,8.75,0.564676616915423,26.7535714285714,492.996428571429,11.2044642857143,1.89424586402608,11.2044642857143,37.0644304668432,27.6698301267072,,9.71088078231292,7.24949549319728,0.277479529466845,,,,,,0.1001100110011,1.07288399452179,2.27324698697553,-1.28200811620366,1.98093187930008,-1.28200811620366
150,9.8,0.512437810945274,0.529850746268657,9.45,0.529850746268657,25.1035714285714,518.1,11.775,1.99070160608622,11.775,36.4938947525575,27.0992944124215,,9.56140042517007,7.10001513605442,0.254105626951818,,,,,,0.108647450110865,0.98250800914345,2.25773420432349,-1.37000524426595,1.96009691588365,-1.37000524426595
160,10.5,0.477611940298508,0.495024875621891,10.15,0.495024875621891,23.4535714285714,541.553571428571,12.3080357142857,2.08081753411424,12.3080357142857,35.9608590382718,26.5662586981357,,9.42174506802721,6.96035977891157,0.232004524998202,,,,,,0.11731843575419,0.897053350225405,2.24302032281428,-1.46099840320344,1.94023116538267,-1.46099840320344
170,11.1,0.447761194029851,0.462686567164179,10.8,0.462686567164179,21.9214285714286,563.475,12.80625,2.16504649196957,12.80625,35.4626447525575,26.0680444124215,,9.29121292517007,6.82982763605442,0.213942536309744,,,,,,0.124859392575928,0.827216059487906,2.22906910675424,-1.54204782193584,1.92129943696183,-1.54204782193584
180,12.3,0.388059701492537,0.417910447761194,11.7,0.417910447761194,19.8,583.275,13.25625,2.24112426035503,13.25625,35.0126447525575,25.6180444124215,,9.17331292517007,6.71192763605442,0.17989761008411,,,,,,0.140250855188141,0.695580199673887,2.21629849966746,-1.71536742280477,1.90388618782765,-1.71536742280477
190,12.9,0.358208955223881,0.373134328358209,12.6,0.373134328358209,17.6785714285714,600.953571428571,13.6580357142857,2.40141287284144,13.6580357142857,33.2642188554811,24.230949297658,,9.0638343537415,6.60244906462585,0.163772616125717,,,,,,0.148105625717566,0.633232364635528,2.20429224837573,-1.80927630025876,1.88744065060064,-1.80927630025876
200,13.5,0.328358208955224,0.343283582089552,13.2,0.343283582089552,16.2642857142857,617.217857142857,14.0276785714286,2.46640502354788,14.0276785714286,32.8945759983383,23.8613064405151,,8.96311406802721,6.50172877891156,0.148167274308616,,,,,,0.15606936416185,0.572893782193863,2.19311771883973,-1.90941341163417,1.8720681075253,-1.90941341163417
210,14.1,0.298507462686567,0.313432835820896,13.8,0.313432835820896,14.85,632.067857142857,14.3651785714286,2.52574568288854,14.3651785714286,32.5570759983383,23.5238064405151,,8.87115206802721,6.40976677891157,0.133032094110379,,,,,,0.164144353899884,0.514373095568467,2.18280467154317,-2.01716487077015,1.85782288632551,-2.01716487077015
230,15.1,0.248756218905473,0.27363184079602,14.6,0.27363184079602,25.9285714285714,657.996428571429,14.9544642857143,2.62935635792779,14.9544642857143,31.9677902840525,22.9345207262294,,8.71058349659864,6.24919820748299,0.108736010516087,,,,,,0.177856301531213,0.420431465827473,2.16453878019332,-2.21883225622057,1.83245316871613,-2.21883225622057
240,15.6,0.223880597014925,0.236318407960199,15.35,0.236318407960199,11.1964285714286,669.192857142857,15.2089285714286,2.67409733124019,15.2089285714286,31.7133259983383,22.6800564405151,,8.64124706802721,6.17986177891157,0.0969785332622543,,,,,,0.184834123222749,0.374970781985934,2.15654690897767,-2.33326563154537,1.82129590534756,-2.33326563154537
250,16,0.203980099502488,0.213930348258706,15.8,0.213930348258706,10.1357142857143,679.328571428571,15.4392857142857,2.82770800627944,15.4392857142857,30.2144358155476,21.5424970400374,,8.57586403231293,6.11447874319728,0.0877427475836039,,,,,,0.190476190476191,0.339260303989605,2.14895174976164,-2.43334606867165,1.8106595231832,-2.43334606867165
265,16.8,0.164179104477612,0.18407960199005,16.4,0.18407960199005,13.0821428571429,692.410714285714,15.7366071428571,2.88216248037677,15.7366071428571,29.9171143869762,21.245175611466,,8.49147430017007,6.03008901105442,0.0696887218682351,,,,,,0.201923076923077,0.269453802357136,2.13906263662217,-2.6637167839462,1.79676177199904,-2.6637167839462
280,17.3,0.139303482587065,0.151741293532338,17.05,0.151741293532338,10.7839285714286,703.194642857143,15.9816964285714,2.92705062794349,15.9816964285714,29.6720251012619,21.0000863257517,,8.4219097912415,5.96052450212585,0.0586653794168687,,,,,,0.20918984280532,0.226831675582855,2.1308366185973,-2.83590551461074,1.78515848091755,-2.83590551461074
295,17.9,0.109452736318408,0.124378109452736,17.6,0.124378109452736,8.83928571428572,712.033928571429,16.1825892857143,2.96384419152276,16.1825892857143,29.471132244119,20.7991934686088,,8.36488970195578,5.90350441284014,0.0456788771405901,,,,,,0.218026796589525,0.176618924884411,2.12404314869206,-3.08611929492183,1.77554614286032,-3.08611929492183
305,18.3,0.0895522388059702,0.0995024875621891,18.1,0.099502487562189,4.71428571428571,716.748214285714,16.2897321428571,2.98346742543171,16.2897321428571,29.3639893869762,20.692050611466,,8.33447898767007,5.87309369855442,0.0371576086545023,,,,,,0.223990208078335,0.143671151802509,2.12040100527119,-3.29258671978477,1.77038153053442,-3.29258671978477
